,date,open price,high price,low price,close price,AVG price,adjusted close price,volume,value fluctuation,rate fluctuation
0,2022-11-29,11.5,11.5,10.3,11.5,11.23,11.5,1589500,1.0,9.52
1,2022-11-28,8.7,10.5,8.7,10.5,10.42,10.5,103700,0.9,9.38
2,2022-11-25,9.4,9.6,9.4,9.6,9.6,9.6,289900,0.8,9.09
3,2022-11-24,8.0,8.8,7.4,8.8,8.17,8.8,751400,0.8,10.0
4,2022-11-23,8.4,8.8,8.0,8.0,8.3,8.0,642500,-0.4,-4.76
5,2022-11-22,8.2,8.4,8.0,8.4,8.35,8.4,1137500,0.7,9.09
6,2022-11-21,7.6,7.7,7.3,7.7,7.65,7.7,410900,0.7,10.0
7,2022-11-18,6.7,7.0,6.0,7.0,6.61,7.0,1394200,0.6,9.38
8,2022-11-17,6.2,6.4,6.2,6.4,6.36,6.4,880900,0.5,8.47
9,2022-11-16,4.9,5.9,4.9,5.9,5.19,5.9,956200,0.5,9.26
10,2022-11-15,5.9,5.9,5.4,5.4,5.41,5.4,506400,-0.5,-8.47
11,2022-11-14,6.2,6.3,5.9,5.9,6.03,5.9,581500,-0.6,-9.23
12,2022-11-11,6.8,7.1,6.1,6.5,6.75,6.5,983000,-0.1,-1.52
13,2022-11-10,6.6,7.0,6.6,6.6,6.66,6.6,490200,-0.7,-9.59
14,2022-11-09,7.1,7.7,7.0,7.3,7.4,7.3,469400,0.2,2.82
15,2022-11-08,6.6,7.3,6.6,7.1,6.87,7.1,561400,-0.2,-2.74
16,2022-11-07,8.1,8.2,7.3,7.3,7.49,7.3,675800,-0.8,-9.88
17,2022-11-04,9.0,9.0,8.1,8.1,8.3,8.1,940500,-0.9,-10.0
18,2022-11-03,9.1,9.3,8.9,9.0,9.07,9.0,446500,-0.3,-3.23
19,2022-11-02,9.4,9.6,9.0,9.3,9.22,9.3,322400,0.1,1.09
20,2022-11-01,9.0,9.8,9.0,9.2,9.17,9.2,1634800,-0.7,-7.07
21,2022-10-31,10.3,10.3,9.3,9.9,9.6,9.9,98400,-0.3,-2.94
22,2022-10-28,10.4,10.6,10.0,10.2,10.36,10.2,166700,0.0,0.0
23,2022-10-27,9.6,10.2,9.0,10.2,9.7,10.2,192900,0.8,8.51
24,2022-10-26,10.4,10.4,9.0,9.4,9.31,9.4,181100,-0.6,-6.0
25,2022-10-25,9.4,10.2,9.0,10.0,9.38,10.0,366900,0.1,1.01
26,2022-10-24,10.9,10.9,9.9,9.9,10.07,9.9,204100,-1.0,-9.17
27,2022-10-21,12.1,12.1,10.9,10.9,11.25,10.9,279300,-1.2,-9.92
28,2022-10-20,12.1,12.5,11.9,12.1,12.16,12.1,139400,-0.3,-2.42
